z,H,sigma_H,reference,source,release_tag,row_index
0.07,69.0,19.6,Zhang et al. (2014),moresco_2022,moresco2022,0
0.09,69.0,11.9991,Simon et al. (2005),moresco_2022,moresco2022,1
0.12,68.6,26.2,Zhang et al. (2014),moresco_2022,moresco2022,2
0.17,83.0,8.00037,Simon et al. (2005),moresco_2022,moresco2022,3
0.1791,74.91,3.8069262,Moresco et al. (2012),moresco_2022,moresco2022,4
0.1993,74.96,4.9001352,Moresco et al. (2012),moresco_2022,moresco2022,5
0.2,72.9,29.6,Zhang et al. (2014),moresco_2022,moresco2022,6
0.27,77.0,13.9986,Simon et al. (2005),moresco_2022,moresco2022,7
0.28,88.8,36.6,Zhang et al. (2014),moresco_2022,moresco2022,8
0.3519,82.78,13.94843,Moresco et al. (2012),moresco_2022,moresco2022,9
0.3802,83.0,13.54,Moresco et al. (2016),moresco_2022,moresco2022,10
0.4,95.0,16.9955,Simon et al. (2005),moresco_2022,moresco2022,11
0.4004,76.97,10.18,Moresco et al. (2016),moresco_2022,moresco2022,12
0.4247,87.08,11.24,Moresco et al. (2016),moresco_2022,moresco2022,13
0.4497,92.78,12.9,Moresco et al. (2016),moresco_2022,moresco2022,14
0.4783,80.91,9.044,Moresco et al. (2016),moresco_2022,moresco2022,15
0.47,89.0,49.6,Ratsimbazafy et al. (2017),moresco_2022,moresco2022,16
0.48,97.0,62.0024,Stern et al. (2010),moresco_2022,moresco2022,17
0.5929,103.8,12.49752,Moresco et al. (2012),moresco_2022,moresco2022,18
0.6797,91.6,7.961872,Moresco et al. (2012),moresco_2022,moresco2022,19
0.75,98.8,33.6,Borghi et al. (2022),moresco_2022,moresco2022,20
0.7812,104.5,12.19515,Moresco et al. (2012),moresco_2022,moresco2022,21
0.8754,125.1,16.70085,Moresco et al. (2012),moresco_2022,moresco2022,22
0.88,90.0,39.996,Stern et al. (2010),moresco_2022,moresco2022,23
0.9,117.0,23.0022,Simon et al. (2005),moresco_2022,moresco2022,24
1.037,153.7,19.6736,Moresco et al. (2012),moresco_2022,moresco2022,25
1.3,168.0,17.0016,Simon et al. (2005),moresco_2022,moresco2022,26
1.363,160.0,33.58,Moresco (2015),moresco_2022,moresco2022,27
1.43,177.0,18.0009,Simon et al. (2005),moresco_2022,moresco2022,28
1.53,140.0,14.0,Simon et al. (2005),moresco_2022,moresco2022,29
1.75,202.0,39.996,Simon et al. (2005),moresco_2022,moresco2022,30
1.965,186.5,50.43,Moresco (2015),moresco_2022,moresco2022,31
