z,fs8,sigma_fs8,dataset,ref,omega_m_fid
0.02,0.428,0.0465,6dFGS+SnIa,28,0.3
0.02,0.398,0.065,SnIa+IRAS,29-30,0.3
0.02,0.314,0.048,2MASS,31-30,0.266
0.10,0.37,0.13,SDSS-veloc,32,0.3
0.15,0.49,0.145,SDSS-MGS,33,0.3
0.17,0.51,0.06,2dFGRS,34,0.3
0.18,0.36,0.09,GAMA,35,0.27
0.38,0.44,0.06,GAMA,35,0.27
0.25,0.3512,0.0583,SDSS-LRG-200,36,0.25
0.37,0.4602,0.0378,SDSS-LRG-200,36,0.25
0.32,0.384,0.095,BOSS-LOWZ,37,0.274
0.59,0.488,0.06,SDSS-CMASS,38,0.307115
0.44,0.413,0.08,WiggleZ,39,0.27
0.60,0.39,0.063,WiggleZ,39,0.27
0.73,0.437,0.072,WiggleZ,39,0.27
0.60,0.55,0.12,Vipers-PDR2,40,0.3
0.86,0.40,0.11,Vipers-PDR2,40,0.3
1.40,0.482,0.116,FastSound,41,0.27
